		Height						Weight						FOC					
		Male			Female			Male			Female			Male			Female		
Minimum age (CDC)	Rounded age	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S
44.5	45	0.516353108	100.191764	0.040995524	0.327270297	98.77593069	0.042839638	-0.849380372	15.64343309	0.116904306	-1.131367831	15.20721443	0.128006292	1	50.0512	0.02903	1	49.156	0.02886
45.5	46	0.602595306	100.7783198	0.041076485	0.301955463	99.33939735	0.042947412	-0.86869965	15.80872535	0.117641148	-1.143135936	15.37262729	0.128990225	1	50.1064	0.02906	1	49.2164	0.02883
46.5	47	0.683170764	101.3600411	0.041161838	0.276583851	99.9033122	0.043053626	-0.886033992	15.97610456	0.118396541	-1.15466215	15.53962221	0.129951143	1	50.1598	0.02909	1	49.2751	0.0288
47.5	48	0.758158406	101.9373058	0.041251224	0.251158446	100.4680516	0.043157889	-0.901507878	16.14548194	0.119168555	-1.165958392	15.70817017	0.130888527	1	50.2115	0.02912	1	49.3321	0.02878
48.5	49	0.827636736	102.5104735	0.041344257	0.225705996	101.033927	0.043259907	-0.915241589	16.31676727	0.11995532	-1.177029925	15.87823668	0.131802186	1	50.2617	0.02915	1	49.3877	0.02875
49.5	50	0.891686306	103.0798852	0.041440534	0.20027145	101.6011898	0.043359463	-0.927377772	16.4898646	0.120754916	-1.187871001	16.04978452	0.132692269	1	50.3105	0.02918	1	49.4419	0.02873
50.5	51	0.95039153	103.645864	0.041539635	0.174913356	102.1700358	0.043456406	-0.938069819	16.66467529	0.121565421	-1.198484073	16.2227706	0.133559108	1	50.3578	0.02921	1	49.4947	0.0287
51.5	52	1.003830006	104.208713	0.041641136	0.149700081	102.7406094	0.043550638	-0.94747794	16.84109948	0.122384927	-1.208853947	16.39715363	0.134403386	1	50.4039	0.02924	1	49.5464	0.02868
52.5	53	1.05213569	104.7687256	0.041744602	0.12470671	103.3130077	0.043642107	-0.955765694	17.01903746	0.123211562	-1.218965087	16.57289122	0.13522599	1	50.4488	0.02927	1	49.5969	0.02865
53.5	54	1.0953669	105.3261638	0.041849607	0.100012514	103.8872839	0.043730791	-0.963096972	17.1983908	0.124043503	-1.228798212	16.74994187	0.136028014	1	50.4926	0.02929	1	49.6464	0.02863
54.5	55	1.133652119	105.8812823	0.041955723	0.075698881	104.4634511	0.043816701	-0.969633434	17.37906341	0.124878992	-1.238330855	16.92826587	0.136810739	1	50.5354	0.02932	1	49.6947	0.02861
55.5	56	1.167104213	106.4343146	0.042062532	0.051847635	105.0414853	0.043899867	-0.975532355	17.56096245	0.125716348	-1.247537914	17.10782615	0.137575606	1	50.5772	0.02935	1	49.7421	0.02859
56.5	57	1.195845353	106.9854769	0.042169628	0.02853967	105.6213287	0.043980337	-0.980937915	17.74400082	0.126554022	-1.256392179	17.28858894	0.138324193	1	50.6183	0.02938	1	49.7885	0.02856
